rule_id,year,source_id,actual,limit,unit,operator,passed,severity,excess,plan_id,scenario_id,input_fingerprint
CRITICAL_NESTED,2037,,135.00000000000017,190.0000000000015,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPEX_2037,2037,,1790.0,1800.0,mln_units,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
LEAD_TIME,2037,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
SOURCE_UNAVAILABLE,2037,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ISRU_FINANCING_DEADLINE,2037,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ZBO_EARLIEST_YEAR,2037,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
EMERGENCY_BASE_STREAK,2037,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
NO_ACTIVE_CONTRACT,2037,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
RESERVATION_BEFORE_COMMISSIONING,2037,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2037,A,190.0,190.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2037,A,189.99999999999937,190.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2037,A,189.9999999999983,190.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2037,B,0.0,110.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2037,B,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2037,B,0.0,110.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2037,C,0.0,130.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2037,C,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2037,C,0.0,130.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2037,D,0.0,120.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2037,D,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2037,D,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPACITY_EXCEEDED,2037,E,0.0,80.0,t/year,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ORDER_EXCEEDS_CONTRACT,2037,E,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2037,E,0.0,80.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
BASE_TOTAL_SERVICE,2038,,1.0000000000000047,0.97,share,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
BASE_CRITICAL_SERVICE,2038,,0.9999999999999941,0.99,share,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
RESERVE_45D,2038,,41.160000000000316,30.82191780821918,t,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
NONNEGATIVE_INVENTORY,2038,,1.865174681370263e-14,0.0,t,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
STORAGE_CAPACITY,2038,,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
MATERIAL_BALANCE,2038,,7.478462293875054e-13,1e-06,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CRITICAL_NESTED,2038,,169.999999999999,250.00000000000117,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPEX_2040,2038,,1790.0,2800.0,mln_units,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
LEAD_TIME,2038,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
SOURCE_UNAVAILABLE,2038,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ISRU_FINANCING_DEADLINE,2038,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ZBO_EARLIEST_YEAR,2038,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
EMERGENCY_BASE_STREAK,2038,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
