parameter,value,range_basis,baseline_input_fingerprint,experiment_input_fingerprint,plan_id,scenario_id,feasible,total_cost_mln,shortage_t,min_total_service,min_critical_service,violations,critical_shortage_t,min_inventory_t,max_inventory_t,rejected_t,flexible_rights_2038_t,service_compliant,cheapest_compliant_plan
core_price,1.5,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb0e308d3296f7f20b3baaacc9e130f60b741f4b3b4aa3fbbb64f2493c2b0c5,diversified,BASE,True,15048.209368366695,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.44000000000001,0.0,320.00000000000006,True,lunar
core_price,2.0,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,b5133eed3c81d612437488a71bf45d2f7c088dcab96c2e599f52cd110fcd8e2e,earth,BASE,True,16920.358739713956,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
core_price,2.0,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,b5133eed3c81d612437488a71bf45d2f7c088dcab96c2e599f52cd110fcd8e2e,lunar,BASE,True,16311.258932802115,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.43999999999991,0.0,0.0,True,lunar
core_price,2.0,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,b5133eed3c81d612437488a71bf45d2f7c088dcab96c2e599f52cd110fcd8e2e,diversified,BASE,True,18306.258932802124,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.44000000000001,0.0,320.00000000000006,True,lunar
core_delivery,1.0,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,TEAM_SENSITIVITY,True,10265.13564568828,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
core_delivery,1.0,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,TEAM_SENSITIVITY,True,9795.159803931261,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.43999999999991,0.0,0.0,True,lunar
core_delivery,1.0,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,TEAM_SENSITIVITY,True,11790.159803931263,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.44000000000001,0.0,320.00000000000006,True,lunar
core_delivery,0.9,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,TEAM_SENSITIVITY,True,10263.502016786799,56.316000000000166,0.9230736301369864,0.9768313111546078,4,5.976383561642152,0.0,71.84794520547932,0.0,0.0,False,none_feasible
core_delivery,0.9,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,TEAM_SENSITIVITY,True,9793.051546273913,56.31599999999982,0.9106734589041097,0.9698630136986361,4,6.328767123287648,0.0,87.62750684931497,0.0,0.0,False,none_feasible
core_delivery,0.9,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,TEAM_SENSITIVITY,True,11788.590502848134,56.315999999999924,0.938655780821923,0.9884979726027441,5,4.981041095889466,0.0,94.00405479452053,0.0,320.00000000000006,False,none_feasible
